reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sourceCountry,requestLang
4803699d-f9bd-478b-99da-5f1947f10d68,Javeria nasir,https://play-lh.googleusercontent.com/a-/ALV-UjW8hP5ZJa6m6D2FrG6F8Czti1UDjUsYmrn5uy_iK-7tDCac55Vn,Good,5,0,2.5.5,2021-07-06 12:28:55,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:25:50,2.5.5,us,en
d8ca0499-9ea7-4aaf-b500-00d4965b2f24,Kolawole Moses,https://play-lh.googleusercontent.com/a-/ALV-UjVGZ9n6vIEaNDkJ1wnNKZEWFbAQCeZJxRZ-RppCBiQJdqy0Fns,Cool game,5,1,2.5.5,2021-06-30 08:28:53,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:26:06,2.5.5,us,en
a3e9987f-346b-4137-b401-8d046d992261,Adam Steere Temenaoh (AST),https://play-lh.googleusercontent.com/a-/ALV-UjXBTnZ7Ir2FB-zasAICai13WcB8kdJyTfh4xasQ0IEYyEVehWSX,Good app,5,1,2.5.5,2021-06-27 22:49:01,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:26:14,2.5.5,us,en
c07f6861-89e0-4e8e-a246-d14001d3a876,zainab vlogs,https://play-lh.googleusercontent.com/a-/ALV-UjVBooaJEc8N7Q4QbL_F4b4zJiMTfx9Oxd75Y7740bCe-duML0AUUQ,Good,5,1,2.5.5,2021-06-27 19:03:35,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:26:17,2.5.5,us,en
537734b7-30db-40c8-bca0-8f823f67eb42,Meher Ali Ansari,https://play-lh.googleusercontent.com/a-/ALV-UjUdVPUiZIXL6NBNzs7kMen5GptOTNDZsrF0ebSGqvlR_aCKHqLM,Alalalak,5,0,2.5.5,2021-06-26 14:25:23,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:26:20,2.5.5,us,en
1e58db0f-622a-412b-9f7f-af4cc0695be0,David Mlyapatali,https://play-lh.googleusercontent.com/a-/ALV-UjVB7LT2evVItTtUHeC5EJMcj7SaixjmaNTcxCJvHRzhBtmPFme-vg,Its good,5,0,2.5.5,2021-06-22 01:01:00,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:26:45,2.5.5,us,en
e21c948e-3037-44aa-b25a-4ebba0edd1a9,Umar Usman,https://play-lh.googleusercontent.com/a-/ALV-UjXcJPatEkr2WsTUI5Srj6n_I6B325yRyNIxiqHJdu7mocJdp7jA,Superp,5,0,2.5.5,2021-06-20 07:29:24,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:26:55,2.5.5,us,en
991736f1-2b7e-4a29-aa11-76075c559b81,Kundan Nikose,https://play-lh.googleusercontent.com/a-/ALV-UjU7z4o7S_zWgeE1kIyf8lFciFAhR_eW9nFAqhEOVOaFj0FbBhs-,Kundan saheb bossssssssss channel,5,9,2.5.5,2021-06-18 01:27:30,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:28:11,2.5.5,us,en
d4910731-37af-488e-8c12-a4be5a95367d,Zarbat khan,https://play-lh.googleusercontent.com/a/ACg8ocJd_QpEpJ5r5Jbt7VIDKcGTN3VkzcKoRr_ebI6k5ZIrnp7K6Q=mo,Excited,5,1,,2021-06-16 10:37:25,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:28:17,,us,en
c22b25de-168c-422b-8cc5-704cf3982626,Safiullah Razzaq,https://play-lh.googleusercontent.com/a/ACg8ocLYXs65sxHMVAUQyUeYt2eBYFS7DfuRlgcUKhBIKufpn7KdCQ=mo,Good,5,1,2.5.5,2021-06-14 13:18:37,"Dear player,your support is the motivation of our work,thank you for your support to our game~",2022-08-03 16:28:20,2.5.5,us,en
